Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Mike	16:42 10/4/2021	82
Mike	16:43 10/4/2021	142
Tom	16:43 10/4/2021	105
Mike	16:44 10/4/2021	120
TomH	16:44 10/4/2021	102
Lana	16:44 10/4/2021	145
Mike	16:44 10/4/2021	130
Jim	11:38 10/6/2021	156
Mike	11:38 10/6/2021	145
Mike	11:43 10/6/2021	126
Jim	11:43 10/6/2021	103
Tom	11:43 10/6/2021	125
Mike	11:45 10/6/2021	149
Jim	11:45 10/6/2021	124
Tom	11:45 10/6/2021	142
Mike	12:26 10/6/2021	123
Jim	12:26 10/6/2021	137
Tom	12:26 10/6/2021	94
Jim	13:1 10/6/2021	110
Tom	13:35 10/6/2021	123
Lana	13:35 10/6/2021	125
Jim	0:41 10/2/2021	133
Tom	0:41 10/2/2021	164
Jim	16:3 10/2/2021	128
Tom	16:3 10/2/2021	126
Jim	16:11 10/2/2021	136
Lana	16:39 10/2/2021	160
Jim	16:40 10/2/2021	135
Mike	16:40 10/2/2021	93
Lana	16:41 10/2/2021	137
Jim	16:41 10/2/2021	131
Mike	16:41 10/2/2021	131
Lana	16:42 10/2/2021	132
Jim	16:42 10/2/2021	116
Mike	16:42 10/2/2021	104
Mike	21:30 11/3/2021	133
Jim	21:30 11/3/2021	111
Mike	21:31 11/3/2021	154
Jim	21:31 11/3/2021	120
Mike	22:59 11/3/2021	156
Jim	22:59 11/3/2021	156
Mike	1:6 11/4/2021	0
Jim	1:6 11/4/2021	0
Tom	1:6 11/4/2021	0
Mike	1:24 11/4/2021	0
Jim	1:24 11/4/2021	0
Tom	1:24 11/4/2021	0
